كمال,name
كريم,name
كاظم,name
كوثر,name
كنان,name
كامل,name
كاميلا,name
كنزي,name
كارم,name
كمالة,name
كميل,name
كرم,name
كاملين,name
كونيتا,name
كايد,name
كلب,animal
كركدن,animal
كنغر,animal
كوبرا,animal
كوالا,animal
كركي,animal
كتكوت,animal
كبش,animal
كاليمار,animal
كركوش,animal
كورموران,animal
كاردينال,animal
كايمان,animal
كويتل,animal
كوليبري,animal
كرنب,plant
كركم,plant
كزبره,plant
كمثري,plant
كيوي,plant
كركديه,plant
كستناء,plant
كرز,plant
كشمش,plant
كاكاو,plant
كافور,plant
كرنبيني,plant
كبشورة,plant
كربوناريا,plant
كتاب,object
كرسي,object
كاميرا,object
كمبيوتر,object
كوب,object
كيس,object
كرة,object
كرتون,object
كابل,object
كراكير,object
كبسولة,object
كشاف,object
كعكة,object
كفيلتر,object
كومباس,object
كوبا,country
كندا,country
كينيا,country
كوريا,country
كازاخستان,country
كمبوديا,country
كوستاريكا,country
كولومبيا,country
كرواتيا,country
كيريباتي,country
كاميرون,country
كوسوفو,country
كامبوديا,country
كوراساو,country
كابو_فيردي,country
